# \beta = 6.0, nmeas = 500 (1000 for N_t = 16), term = 500 (1000 for N_t = 16)
"{/Symbol k} = 0.23"
 16  16  0.0625  0.1919  0.18273432E+01  0.382E-03
 32   8  0.125   0.3837  0.18215E+01  0.184E-02
 64   4  0.25    0.7675  0.17543E+01  0.432E-02
128   2  0.5     1.5350  0.15634E+01  0.371E-03


"{/Symbol k} = 0.24"
 16  16  0.0625  0.1919  0.17715308E+01  0.889E-03
 32   8  0.125   0.3837  0.17789E+01  0.322E-02
 64   4  0.25    0.7675  0.16843E+01  0.150E-02
128   2  0.5     1.5350  0.15192E+01  0.473E-03


"{/Symbol k} = 0.25"
 16  16  0.0625  0.1919  0.17205999E+01  0.310E-02
 32   8  0.125   0.3837  0.16310E+01  0.257E-02
 64   4  0.25    0.7675  0.15710E+01  0.563E-03
128   2  0.5     1.5350  0.14744E+01  0.386E-03
 
