# \beta = 2.0, nmeas = 500 (1000 for N_t = 16), term = 500 (1000 for N_t = 16)
"{/Symbol k} = 0.25"
 16  16  0.0625  0.1108  0.18328E+01  0.665E-03
 32   8  0.125   0.2216  0.18278E+01  0.162E-02
 64   4  0.25    0.4431  0.17395E+01  0.320E-02
128   2  0.5     0.8862  0.15304E+01  0.106E-02


"{/Symbol k} = 0.26" 
 16  16  0.0625  0.1108  0.17845E+01  0.151E-02
 32   8  0.125   0.2216  0.17617E+01  0.436E-02
 64   4  0.25    0.4431  0.16556E+01  0.432E-02
128   2  0.5     0.8862  0.14832E+01  0.120E-02


"{/Symbol k} = 0.27" 
 16  16  0.0625  0.1108  0.16975738E+01  0.848E-02
 32   8  0.125   0.2216  0.16478E+01  0.107E-01
 64   4  0.25    0.4431  0.15526E+01  0.505E-02
128   2  0.5     0.8862  0.14305E+01  0.104E-02



